Категория,Значение
B,8260.515952910071
B,5940.133075798427
C,9325.744541158067
D,657.0175077247877
D,7503.070240375882
C,1760.0759291869954
C,3116.7316083535957
A,8731.18043446071
A,6212.622039313415
C,435.4873060710161
A,1857.4712060752827
B,7759.880774268415
A,9720.927190105207
C,3445.018681616576
D,2080.18809597624
C,3435.150407771796
A,6355.231731247744
A,6131.339032749391
C,408.21988665183295
B,2781.8382344773418
A,1492.5638492926469
D,3583.3585228457437
D,9127.06190009585
A,6003.640438568081
B,2043.7685580264754
A,4336.878093890427
B,1498.6090732271032
B,5129.096327756838
A,3252.923902755461
A,1652.126567158261
D,6574.125075711853
B,7345.0101474402745
D,6029.418263734138
D,9429.060998094244
A,1773.8067913356783
A,3798.8271291946735
C,6771.6892399243
C,3028.851900488274
A,3787.9662536175188
C,5604.246623972415
C,1292.434093499288
D,3192.6422788131936
C,6167.510563953557
B,2491.63693880857
C,8980.7460552405
A,8569.876351771542
B,1631.5117415548416
A,2957.7355975186956
B,2484.9992919448864
B,8074.831967903165
B,2535.4173525752512
A,6135.642680748978
A,4938.798553680792
B,6926.896418364803
C,7268.205079520284
B,2241.3927483699435
D,2235.3047113748494
D,1903.369079582012
D,4537.629900024463
C,7052.151061454334
D,1819.863329290656
C,9340.1970317437
D,9764.789621586777
B,5166.191917474516
D,82.6129042775917
B,1691.138955824655
C,3075.88656369477
C,17.254328389910853
B,598.1523655445098
A,979.6364552177453
A,53.7368928821108
D,7096.647416222963
D,3844.0335160622103
D,4120.169060358338
C,7137.923155121507
C,7090.84987932751
A,7906.501119145213
C,9769.86501540635
D,5110.88813168022
D,3874.4930111006865
B,8846.459292998697
D,4605.585261238489
B,3346.6929636404957
B,6870.5601404106155
C,885.3679155217993
D,1845.0047586639519
C,9018.438246288522
A,3871.4965510543984
B,5517.382120538617
C,6035.870635958706
C,2226.900880030339
D,632.490683081137
A,8164.855774752018
D,7535.212626238726
A,6645.76360450258
D,6581.997558236714
C,5071.365173241131
A,6339.547170574648
A,4625.893377432851
B,1510.8564099654227
C,5251.152903894421
C,1410.9194888974653
A,508.8561888899969
B,9155.435252797013
B,8284.242874238444
B,7557.1214194285785
B,4979.544569009688
B,3648.82577069549
D,40.883740328587756
D,768.8058268117384
D,5771.649274033964
B,4917.130655499701
A,3968.7364677888554
C,6715.362592547758
B,3915.9996051605963
B,8735.307020794515
B,1691.757864499381
A,7971.416575686642
D,2632.5499182228073
A,8525.994597725396
C,8399.628192972978
D,1014.2593203224795
C,5184.942460011574
A,4619.719757403999
B,4268.436733311179
D,5527.7510830745605
D,1715.8697148876659
B,3537.2426780806395
D,68.30688572359901
C,2501.157525698505
C,6774.272712555685
B,192.98271028402752
C,2916.6587259344174
A,1565.8601580687462
D,5820.550702612506
C,518.8873624916628
C,3784.8592443209623
C,1270.7198944530774
B,5382.922465687038
D,1450.9762458179343
B,1428.8603191151756
C,4464.41960871015
C,6340.393728607332
C,1022.3472918631368
A,3105.905615939352
A,3318.39830852055
A,9725.48199684004
D,3516.027621414429
D,8192.86756700574
C,3703.2691675729534
B,2967.284170047932
A,2475.6354645436045
C,2122.0404256135075
C,6178.236034151977
A,3737.014687833857
C,1487.9674578167744
D,811.9264411180726
B,7199.378467429367
C,7820.997407741045
D,5133.760650990556
D,2726.76034264287
A,7353.928741748225
A,542.5252103602787
D,1346.878735694915
A,7542.132592179589
C,6161.60044014305
A,5876.6258371302765
A,1176.851939839198
A,1410.0088109234368
B,1901.7838410728882
B,1839.2983881947969
B,1625.7634169377525
D,7479.8430841406725
B,2286.473342757445
C,8962.400595204734
C,8014.473903737922
B,5401.349413783948
C,600.9481264391371
D,349.62703691009926
C,9923.351506558694
A,3576.7594543523846
B,2705.281996644286
B,6905.1041455615
D,7046.533046800427
A,7398.87562997176
B,1129.5185015879108
B,7902.50122651982
D,7442.3112416886515
A,4733.438269153503
C,8849.971662701231
D,1582.3228876943542
D,3518.5705836388693
D,6599.603950553589
C,6943.168088458112
D,3813.1276760618202
B,7232.828664636195
D,3598.7912856792354
D,1442.5118902374463
D,9035.661307720362
D,3903.401483518267
B,8687.167752280624
A,9001.113969981356
A,1452.3719886654847
B,3590.233884004847
A,1916.4224481476995
A,1676.302537720558
A,3695.578397127654
A,5083.448030323868
A,8396.932564688077
B,9554.138503825265
A,3815.7009597706797
C,472.2688109032683
B,7213.261110984257
D,6722.7790213701865
C,7371.399968967214
C,6006.592331479084
D,9483.605773699248
C,4141.018643446745
A,5906.052838078113
A,1316.061334932359
B,4218.31807424924
B,8685.04048230822
C,4539.981013998268
B,2797.3210835829304
A,3309.749989726683
B,3287.479080188347
D,32.1524863987187
B,1709.8232926524697
A,6664.229508167156
D,8484.396938123353
A,9140.847152335768
B,9593.05208952881
D,4829.30384985601
D,5104.732255590815
A,3135.8002485441434
C,5577.820805529965
A,1073.3044803411035
C,3285.12320645003
B,1807.4789352575324
B,552.3150521443146
C,6322.584117829575
D,546.7690935162306
D,4881.930047970024
C,14.084071848035881
D,7169.356621221796
C,6260.24606582301
C,7009.4996412703185
B,4180.171546128489
A,1418.3593822166677
A,1291.6427739424576
A,1866.7951077053458
A,5161.536342366116
A,3146.0676818082047
D,2139.777949046507
C,7728.904807184608
A,1226.1812713043482
A,4684.466748203542
A,1671.7774595014648
D,7779.0916399088965
A,4661.597300844936
B,8.87705611503126
A,1186.2903471387335
D,6347.102805062653
D,1165.682801510835
C,6288.849193722098
B,6224.431286919261
A,6158.212339317823
D,2127.9184534138453
D,1706.6702627706113
A,7224.893769656665
B,1156.34581002206
C,8502.178703344867
D,7751.284975499443
B,6890.695338272803
B,1876.2262211454154
A,4740.98112195098
C,1041.1781462594436
A,6563.29559411351
C,1484.8617689013856
B,52.65547137366166
B,2934.632893375606
C,7453.287498655691
A,9172.763024323292
C,7965.058078897575
C,9051.571912315665
B,9072.544644259013
A,5381.0240515797095
D,3768.2739833307487
B,8149.976063967067
A,1710.9523144740435
B,5720.8414581305715
D,3861.1835019945447
A,216.9844567298538
C,9149.581520013031
C,2092.4402286639543
B,8953.753573869088
D,3469.8681346437606
A,1656.8244865770153
A,1212.1262902690903
C,2226.312240945648
B,378.34619538304776
C,2716.7704943186914
C,8694.214762579992
A,3546.827928566258
B,2934.2140237838116
C,5878.129624289218
A,2307.3644626139735
D,9164.098148780799
B,8346.088177295018
D,1865.9100072388255
B,4451.979379041035
B,2162.24492020129
B,8045.736024742319
C,6715.598889597243
D,5561.749011855366
D,4538.581566441748
D,3752.9146447386024
B,9616.735982108326
A,7538.76247716309
A,1512.8857929822234
C,1061.9293786517294
B,9293.650074547766
D,777.7698610784929
B,2571.963753701339
B,8500.578241992473
C,1285.0674162614248
B,9674.776278173857
B,4123.663439515129
B,6254.254045961172
A,1860.6139332635285
B,9659.08871147119
C,4988.699865463009
D,1464.9198156473221
B,5679.1915996233365
C,695.0260040480875
B,2246.169684719165
D,7400.297182334117
B,5757.205288246267
D,5317.46616856665
B,7268.563309081123
A,13.888478187547454
C,7779.855536049807
C,3644.406710465272
B,1998.702939259644
A,3463.3935250926615
C,7145.501709558453
B,6670.638861525323
A,9036.123742889711
B,6228.225960962883
D,4932.553066458684
B,2176.777960973151
D,666.1838528216498
D,316.3715827185146
D,2285.939841950672
A,4531.313404647977
B,5169.708171175709
D,9188.091666692168
D,5155.734154786165
D,5515.916738512301
D,9521.07414617476
D,7116.44641480126
A,1238.2592612289138
C,408.0486700569257
A,3989.1307143196236
C,3499.8546917782155
B,3646.8304381648336
C,5448.183149298514
D,3526.457812717925
C,8808.648973902917
D,2580.894724790479
D,1780.7672093554272
D,5661.806262042438
C,6765.8959543603105
D,2516.2288657804206
C,4223.052994717705
C,9910.906785065263
C,8494.678824210894
D,5392.976189488134
B,5986.832808406713
A,9838.815838963663
D,693.3036409820312
A,9179.008572427145
D,7956.406477072303
A,6280.220572290096
D,5087.299636580226
D,5917.176473376121
D,6266.979355641819
A,8694.71192549032
C,2485.1119306496516
B,1034.8581400107412
D,7842.405720933453
C,6464.309776757296
C,8730.453996875654
A,2706.274786826484
B,964.2886320536011
D,2364.093613739934
A,854.7520407369324
B,4741.583606116225
D,1826.2791583860903
B,7769.963642324687
A,6024.663999588947
B,4862.726939626687
D,832.3900317392918
D,6539.943287234195
C,6851.703865198483
D,366.5282761693079
B,3963.09809726282
D,1149.9150373793946
C,5025.2267705502
C,2018.8344366054212
B,5544.908654358989
B,1079.9145709160375
B,8638.71372880695
C,6894.163736156531
B,3148.549994735655
A,1782.9493135926132
A,545.1336012359011
B,8757.452959933304
C,7773.088959293704
D,9135.698136004536
D,7917.006211012266
A,6265.419237700828
