Категория,Значение
A,3496.9121992296227
A,3419.941443477597
D,6209.305050970304
C,5829.3815123559025
B,2080.2674666771363
C,5143.367602766363
A,905.54997261526
D,2537.58492931743
B,2093.1800834800883
C,9221.868606149423
C,4925.8229833941
D,3714.7901609035653
B,8833.933578372425
D,8939.053119169905
C,9554.252195309182
D,6641.40770859204
D,9940.095295549223
C,1510.1327977775343
B,5934.877770377365
B,5071.194420457591
C,9444.324332091015
A,7693.167802727917
C,9312.746399602442
D,4788.4781665569035
D,1041.8655292160008
C,6994.695440444447
D,9344.402888046581
C,3883.944228819246
D,7810.111554971608
D,754.1323924571883
C,5531.528072485271
B,5462.375775828381
A,7887.930155986574
A,7128.366300571121
B,1938.8222818933737
B,5335.497792587512
C,8176.40285775394
B,2651.7900046970544
D,4489.158328520264
B,9811.430865953373
A,8506.873201793676
D,3172.2671679507707
D,2054.5851155963774
A,2929.4042612858434
D,8891.15946249145
C,7965.144316676223
A,8851.761741467875
B,8947.084661727964
D,8337.718239208009
C,7432.543684688567
D,9881.005638190623
B,1930.0287960166445
A,1423.3016491752471
B,7355.588960272512
C,1999.275548175287
C,7653.474812252458
D,940.5475197169559
C,3509.8662181259947
D,5832.895838537184
D,6905.578625973183
B,5714.136065229678
B,3090.3591542121785
C,8999.151305996385
B,384.46184078202396
B,206.8014709216426
D,4002.2323284956947
A,1899.8864187276727
B,7440.58633227451
D,326.05293720481546
A,2785.1598561922165
A,6995.425781088992
D,2964.8962985249113
B,2432.463247533442
D,6529.728659800169
A,1632.4820641460176
B,4675.005032121081
C,1886.9177076599924
C,666.3629697873442
A,6275.155074030683
A,7044.578969363678
B,8878.745254843987
C,5175.253681702439
D,9893.756070946016
B,2068.116273659686
C,580.418156465385
C,8198.945549617525
D,9030.875495282029
D,3412.921435803072
B,133.76072883551154
A,8946.994388155585
D,8945.06467706663
C,3251.8650709160493
D,2601.523329851984
D,5856.36026742317
C,8772.900660888803
D,906.1821206263966
B,2477.092761027858
D,4977.620407222398
A,3792.7734147504525
B,4768.434277123508
C,1406.2971585169016
D,3258.0929327074796
B,4777.43541676374
D,9385.339523428693
B,4537.576491406547
C,2494.557736013855
A,4643.914884105528
B,5140.4653179064635
B,7232.660573006362
A,5868.510759624074
A,4989.484672130894
C,7034.9506914721715
B,5788.663935647883
C,5865.298475304103
D,1924.923044247929
C,2221.049217904879
D,9531.398526710464
B,9023.44147051524
D,8186.4863900232585
A,4539.182687933327
A,3343.0117317018185
C,6787.142226017822
B,7818.2946421128445
B,7329.36523024899
C,5502.1398274811345
C,2841.0315747801824
D,261.43571423454557
C,8324.468836071259
D,245.7425514142963
A,1649.4718766201336
A,5374.108458868246
B,2723.3166236236652
D,2667.6918451565425
D,8250.978972568884
A,3204.938619481862
D,3765.4529737696785
B,4066.253694225653
D,1615.6387943135812
B,6912.7854628119585
D,1672.9052575336755
D,310.46635209229584
B,5307.56481942063
B,8658.405722460757
B,9382.942351877136
A,9322.7544717533
C,7938.62523014085
C,3788.0190720333912
C,6603.36893085295
A,6683.588123342751
B,6991.888595929727
C,8345.47499020647
A,757.3064236747747
D,7770.913013285761
C,6612.836076978527
A,567.1912615577961
C,202.67693028150688
A,3696.6095743662286
C,3611.9604284372367
B,5285.242588886594
A,3391.266249763713
B,5783.201344246902
D,141.56386264426666
D,5934.203158401737
A,3667.1459889793537
A,9135.424070914978
D,5939.54294783499
B,1486.1142293915652
D,8751.904696295569
D,7806.447795948568
A,3381.5939322952186
A,3089.7533904978804
B,1738.9760904481625
B,1402.0738906537958
C,3156.5073670118977
