Категория,Значение
D,9994.439883318488
C,1158.0815270029123
C,351.6181708298603
D,5937.533346215596
D,1400.2700120744068
C,593.2478160839873
A,4555.265129342344
C,7430.650844965137
A,8152.668423109622
B,6362.307575879328
C,2687.5051085524988
A,2353.275898870817
A,6858.495981792019
C,8359.273500361729
D,7798.724956060294
D,8916.218563369968
C,5618.804190135527
A,902.7290357938025
D,8511.38632693198
B,330.18375885715835
D,5274.3416172684165
B,940.072165694497
C,6577.21850856784
B,3762.4705588420115
C,7710.250999885498
A,2391.288863731078
D,6025.061999021404
C,7732.250873493779
C,3744.5269814910316
A,1633.1431858361293
D,4372.104309252662
D,618.353088548882
A,9045.604896490682
B,5625.718451238093
B,5856.859338276755
D,3569.4422767269675
C,8840.518321674
C,6534.920933620311
C,8860.68299413296
C,348.8447712876405
C,6971.774304070471
D,188.82304164343273
D,4821.753055243013
B,2259.4690081540275
D,2596.4366992395976
A,5696.176898588717
D,631.3734211172024
B,2426.5926488872087
A,5689.738150994851
B,4905.497019455336
A,1904.4360395228696
A,9047.149768554005
D,8800.613918996685
B,9084.050587788932
C,4595.76068219684
C,9565.859126124964
B,2200.055016879168
A,5742.812041427218
A,5192.842842827103
B,7036.949438637904
B,8817.140722699442
B,9169.543149485338
D,1588.8366073652905
B,6200.692961325322
C,3808.8311065580883
D,2920.3168470967075
C,5090.904416708927
D,2979.694544090033
B,1514.6809662053136
D,9454.950045449255
C,8598.838276491266
A,8462.696957497485
A,1292.1512642327316
D,6261.342440523235
D,4535.361898181229
A,8620.84637224731
B,4223.093103275511
D,496.4250356625211
C,1621.1246680814272
A,1597.4024950676242
B,9520.060931328182
C,8093.863484512486
D,2632.914003557497
D,6893.905996795945
D,3961.7727205077113
B,2646.7745563458666
B,1808.9957465480788
D,2886.896303195464
A,6011.642455018235
D,5439.220066334729
D,7146.785802835495
D,6831.346551356247
A,8580.76921608311
B,9681.837449595057
A,6191.69557201699
B,9604.838364281833
B,4998.182499899958
A,780.543025683944
C,9712.473621309706
B,3947.1762347353556
D,4276.8834526358105
B,1297.2437663230307
A,7621.236494482639
D,1488.093085303817
A,7647.861786664421
A,3811.224687974837
C,3983.1858852741007
D,554.3160918827019
B,4178.782061706995
A,3813.8171241066266
B,7357.083686987858
B,5919.772513217617
D,150.7526714986719
D,1543.3297202875112
B,1020.201130362414
B,3552.973833942075
A,4354.461810065892
D,2289.6001365977554
A,9826.984336738353
A,6041.0274379625935
B,4031.9661318260128
B,3462.631415753325
A,816.7189946697588
C,6199.955128416187
A,9557.47629920186
D,5994.412206855097
B,3641.4032962699594
A,6088.835567753542
C,7792.857241730304
C,7863.9626352767555
A,2918.761267273748
D,5260.8410022466705
A,8177.931635566042
B,5241.116324473793
D,412.8057591855877
B,7534.98688979455
D,718.5628154256677
C,8867.770016970848
A,6830.655289232921
A,6212.452245127766
C,6515.918230971604
C,7391.720471059538
C,8975.43310798828
A,5509.359502934955
B,3901.2928031100128
A,5195.346947977417
B,8765.215439231406
D,8737.28227738746
A,8593.72552983143
A,1106.7537229788513
B,4587.940647961043
A,5170.796044670704
A,1095.4310786003323
C,103.67646559788318
A,3241.387761892705
D,8167.2959289821965
D,297.7692978595944
B,8858.1497380452
C,9005.180611368198
D,7007.036883409067
D,8378.282105031065
D,7284.938781516458
A,6265.040709172134
D,2253.2441090046814
D,2600.6533162029123
C,1099.752167494451
A,135.2971868138442
B,6614.826612500677
C,6004.849885983992
A,4938.071225718311
D,1114.6184975126725
C,1632.1768344699033
D,5637.357773170251
D,8263.370639603554
B,3381.9918581002657
A,4873.646049610559
C,4333.18596637144
A,3620.5099191867357
B,2378.6657008021584
D,1006.6345963841065
C,1738.495654934328
B,4796.92501290817
C,401.8922777640505
D,7788.406813846945
B,2644.5278688565813
C,1305.3863509069126
A,6113.049684563007
D,4552.541565798728
A,8188.7756121364455
D,9799.457403490776
D,9019.671526926706
C,8220.126231904382
D,5637.197282975473
D,9211.96217441321
D,2427.831700866723
C,4478.3363637696075
A,4533.048443035239
B,8959.451861150508
B,2356.436286483535
C,1232.8781214477708
B,7640.049636432822
C,1815.2166909213672
D,9087.897224962575
C,9660.161058772454
C,6033.9296298027675
B,9098.434192630899
B,9991.306282960622
A,3651.097962246987
D,9770.242684477833
D,7729.668932018967
A,2861.5428253772184
B,2576.1356005312937
C,8588.980797275117
C,3078.388816683151
D,8726.64838485221
D,3603.44405397613
B,6423.326514706593
C,6395.62786126232
B,3984.773992947654
D,2807.2905135862256
A,7781.1623096195135
D,5163.162280366083
D,9166.600736253116
C,1568.7046263231437
B,9225.044537017253
C,2274.218189267848
D,8957.450242618574
D,9372.2763738292
C,2359.9506313009197
C,5806.849102442932
B,8247.741651829523
C,3113.399782207941
A,3189.2191398695254
A,8785.532297965228
A,9451.908527257534
D,1436.0503119233913
C,2250.6370062488654
B,9866.203983011315
B,4230.358010101022
A,2263.6188681009107
C,4854.989708827465
D,8270.498939659728
D,1533.5569596328862
C,2903.154538844019
B,4487.392069950013
C,3012.5599859539593
C,4843.156035456541
C,974.0492877131011
A,8178.081793685308
C,3857.067128266695
B,8663.97326780092
A,5592.223097298316
D,1487.8820706452132
D,3254.9114716409053
A,1326.0377948017542
A,21.58919680193095
B,1626.946248751143
D,7701.538635252678
C,9340.56667907416
A,7400.097793578227
B,1384.6582267749588
A,7718.338792331415
D,1050.3660508379392
D,8454.698923485465
A,3880.759026459024
D,2610.5967102356376
C,6432.494742173135
B,7937.0589952669625
D,5364.1445222794655
C,1185.3172186712895
B,2783.981259811185
C,7101.049887526615
D,9535.112293213555
C,7054.61156253745
D,7368.830025878718
D,2319.4582915511232
A,5683.687076242589
D,1908.3998433115612
B,5179.806310953059
D,9268.325141833964
B,1943.3611258602514
A,8739.133835603338
A,6150.649526197686
A,3857.383514289271
A,5313.275255740486
D,5510.600000118255
A,5251.7466098757795
C,2344.3314950827184
D,5872.431972833297
C,683.7809311562057
A,6608.18702138896
A,769.7785202424997
A,8570.709169225342
B,5566.018800559254
C,3692.7232273059863
B,7765.431634084381
B,9792.859645715447
D,5819.907280352893
D,6150.295767263891
B,3956.914118074751
D,5155.954111739797
D,3214.8289083653713
B,4705.478672235632
C,2935.2752794431426
A,2659.9942052148926
D,1262.9909403668105
C,703.5271374104361
B,8185.016928226707
B,5304.380689239291
A,9821.212414639858
C,3451.74801200765
B,8047.090434000501
C,3961.112840959687
A,6314.548066337359
A,8730.258045585017
D,2880.484018092151
D,4967.734795428243
D,3008.6319595831023
B,9145.624451894813
A,4089.8900070443506
C,7830.113855119599
A,8709.725635288165
A,7080.076632615143
B,6657.337890179285
C,3930.4609821431463
B,9065.331591381082
B,5628.43330080744
B,5808.6313215247865
A,9565.866380125244
D,3397.1925703551724
A,2836.886865536658
C,7095.353345216652
B,2904.0246961383664
C,6217.503623598372
C,1111.067441340994
A,6270.543267886325
D,4871.148493427943
B,6907.93318576076
D,4012.1201320680684
A,7626.232033273213
B,3962.2723453458225
C,79.61021088384126
B,6434.314154576977
C,8261.229719356246
A,3999.4993234845383
B,4641.848596754849
D,4259.70407765098
B,2126.109604502905
A,954.9472924553471
C,8201.469096833745
D,1573.087853441299
B,4649.154792798432
B,8135.136470251644
B,7547.4725847273685
D,9935.172859196857
B,6167.918021809925
A,1939.4636685078285
C,722.9680262679568
C,4393.977971867679
C,777.518915882175
B,5777.721290608969
B,2687.945064778893
D,8210.406228650065
B,4436.395562984918
A,224.69264166403133
B,4485.667755713042
D,399.6154627095393
A,4440.673416474586
B,1046.2024363045862
B,5938.932285667986
A,6505.196521702099
D,1768.9607979090517
B,9041.781852394739
A,2422.343354835263
B,1657.9703738032758
D,4210.7837891294475
D,2824.4648047972014
C,8870.357008306924
A,9395.691649759261
A,1081.1119759258877
D,1094.0147626270018
D,9300.103569675439
C,7873.2077758990645
D,9334.336783879968
D,9120.360310962396
D,649.3301046270158
C,4421.7470299140705
D,5731.690589139454
C,3109.428852162496
D,2226.506243158455
D,9551.745036084263
D,8542.262160608985
D,6220.718316061093
D,9028.421560383595
C,4265.51807182171
C,9684.26365237308
C,1063.2035267885874
C,3464.3124889434134
A,2866.967294337058
C,9017.782183793139
B,3476.7272213183755
B,3915.17554917026
C,1942.6973780459527
B,9370.997868749608
D,7621.233909653335
A,1581.6086650311015
C,8879.890471565162
D,4148.058316900882
A,8139.518046351202
B,9649.729567643457
B,7884.680370192283
D,8552.327013358867
C,842.6841298569141
C,6299.321969503556
A,9245.95388310752
B,3764.1950325939906
D,2222.088335842052
D,9146.99204075564
A,5509.399101744687
A,530.3037395442897
D,4150.0151566321465
C,4318.442383397915
C,5287.691720271977
C,7953.961926705678
D,2875.3226811321733
A,3985.3874831935123
B,7882.733393960542
D,1337.535074779975
D,4265.38084609889
A,7609.301104561515
D,681.3240948533388
D,797.5792796032484
A,2299.843950737463
B,6193.92268836037
B,8376.649171932982
A,1122.42278455643
B,332.83168061551623
B,5343.400023860234
D,516.2124950640377
A,5317.35456305792
B,3068.542402084339
C,5097.688589088634
C,6986.514283450879
A,8963.845118717747
A,634.6965170007103
C,5899.967869519483
C,7999.006926437343
D,6716.876766828691
B,9687.744956169008
C,1799.9952893665907
D,5271.762918576968
A,2428.665259239615
A,7032.213577818685
D,8055.679080923219
C,6721.059595694299
B,9656.899286351545
B,8273.995432406424
D,8317.176375910649
A,9071.767942239245
B,9067.817533611551
D,1564.4601150582575
C,3699.553314560827
D,1167.9696830792534
A,3139.100471666218
D,9482.120329835876
B,4166.487897676562
A,9632.56491274509
C,7337.37657739753
D,4164.786662618022
D,7502.555037502645
D,1299.1898455141938
C,5343.536920891729
C,2525.284544382738
B,219.87709699718087
B,8585.820134487572
C,9287.8807554872
B,6575.654720830276
A,2088.819257140242
C,9108.456603328119
A,5093.557522852709
D,9602.707364971973
D,8579.479237342814
A,9726.613506885778
A,9660.866101345451
C,5586.2372486204395
A,5687.427794117887
C,1245.41477441596
C,5786.5562952057135
C,2650.815721306835
D,5143.655006447027
D,6991.701579577484
B,998.7983302608218
B,9294.686080029194
D,5354.397395460553
D,9051.262603244895
A,6564.583252115209
D,9327.892604494946
C,238.57468540520793
D,161.07990476989977
D,141.0137601817793
A,3270.6800910445654
A,2197.8019486951434
B,1579.3325440351082
D,2554.310036839078
A,3349.7668765677504
C,8215.54721060952
A,2173.1433627644255
A,4334.528127023101
C,3092.0595702741452
A,9008.38613477307
C,5390.106939764156
A,7062.423416982546
C,7070.284544051143
C,8250.414706434658
C,5880.619247268506
A,977.8402333325876
C,8247.278928044801
B,9540.379078056778
A,3504.3582476139563
A,6819.797995754561
A,863.2961242305406
C,1007.1398736696711
C,3271.8862858275966
C,3973.323387126588
D,7078.3712373360095
D,9697.981512024808
D,3119.959126618844
C,4349.320623548323
C,9490.839403186714
B,6360.2276493508325
C,7338.443848373047
D,6697.346554387752
C,7070.455055606215
C,2721.6584664867573
B,870.0940747107285
B,3885.517501650162
D,5050.134876053174
A,1012.8405961153303
C,8870.83038773717
A,2502.3320221557633
A,3088.6715627882963
B,1014.6045525222938
C,2516.482047519618
A,8089.407550505759
D,986.4977420004474
B,3022.8229878181237
C,4314.545404575676
A,6864.5555532184335
A,5772.428461771135
B,8980.82513785405
C,6617.340970678458
B,1748.398170211203
A,9034.817078647604
B,1187.5906351540996
C,3969.725205113198
B,2026.1352214500414
D,5340.784379494125
B,3205.576063207422
D,8637.72453217034
B,4116.760512680962
C,9119.372118852458
A,6792.766762641105
B,9546.003348469048
B,2253.5298330943265
