Категория,Значение
A,1774.6941436486607
C,4702.956190314054
C,4121.701642921972
C,9208.072102541526
A,7549.6177388681135
A,6707.98439617656
D,5466.240428668685
B,780.6953628402364
B,7912.345609579747
A,6925.176059805345
D,8422.55296144548
A,2182.62786785746
B,3547.941120495111
D,5884.385308581576
B,5630.09817517604
C,7701.506418521695
B,1654.9932585919105
D,5823.542168011766
C,2582.9075331220015
B,2893.8181360681683
D,8113.611010769444
A,1474.4480847017996
A,6344.725227506001
B,4434.08702867464
B,6679.723474044937
C,5692.293159028345
D,7090.793289825734
C,7962.93881200677
A,4785.169486159698
D,1823.4296503793462
A,6707.299023804638
C,3694.983836311857
D,8283.469244675345
A,8006.396851558652
B,2351.137877324936
B,3456.000503720834
C,1743.5996567195123
A,2766.9448951522927
C,692.2998575962309
B,7369.9730638858755
A,3220.2127542068074
C,6542.750668973328
A,4570.068369711969
B,8441.535385139965
D,4443.713762829606
B,8625.918562083236
C,2637.166459013338
C,6584.218964768591
D,5551.229335834973
B,9174.2769217737
B,7757.434721731084
D,3585.5062743031485
A,6368.566268884937
D,5022.010794109398
B,5229.4998382946615
A,9101.717037788443
C,9094.561706919843
A,8605.920897085676
B,6004.743278970821
A,3119.8679561778426
D,8990.893387231734
A,236.9990579167673
A,1679.1860322425437
C,1953.1822205586582
D,7587.309729893937
B,1003.0067666184159
D,3780.4381540748877
A,1667.042767582979
A,5550.092513477575
D,4774.848800807829
B,7420.456100650285
A,5549.804574724195
C,9433.726431759285
D,1500.46780707536
A,706.5822133895018
A,3470.1801144068436
D,5624.770024896401
D,8293.385567601848
A,4246.287660430243
C,118.47922213227989
D,189.7809477465386
C,1322.8295057661583
D,826.5226458921218
C,9711.896445120705
B,8579.616473182927
C,409.89991266994804
A,4856.57688191424
B,8662.772102705301
C,8491.07829112797
C,9297.443983404317
B,3122.3787692981555
B,4562.26532708123
D,3422.5896244552805
A,5561.261276056211
A,9258.438639691805
A,7936.267532721055
C,7907.1474011577375
B,8215.104606064957
B,1878.4139870377107
A,7455.6049615935035
B,5499.7712229209565
B,1147.9710896943618
D,5386.170975834379
A,5646.9199111615335
C,7956.091507173717
A,4836.221921105952
C,630.1045932017855
A,5231.1498381723195
A,342.83277937993427
A,3045.3764231076666
B,4138.52890014446
C,3078.0899920377474
C,640.4155061931671
C,275.37381826880176
D,7542.865027215216
C,3753.1673753277505
D,4987.387049233491
B,1717.0899203836943
C,2937.397160561308
D,6617.950923708315
A,5306.56547427705
B,4569.879817158388
C,9535.84926120407
A,3828.074005564761
C,9943.568727369895
B,7990.946214064598
D,9379.412959704456
D,6093.583182354584
A,4799.352513702522
B,3852.4153221973675
D,3943.2640283297105
A,7637.377704040767
C,1202.443848411426
C,416.66473764247775
C,3214.7864864834823
A,7600.083716141472
A,4770.580977664251
D,40.289418421298855
B,7043.735667259715
C,5809.322420915301
A,3715.522784078173
A,5068.83565048381
D,1341.1618900356164
A,7862.5287786813815
B,6167.22333362324
D,8417.035245865334
B,9366.451428739721
D,6090.92633007294
C,1500.1049703833987
C,7448.5992758872635
A,829.5728144881997
C,4018.1508438451874
D,9552.129435540355
A,6999.437675245384
B,977.6415794421159
C,541.6556548783526
A,5302.942671668109
B,3000.26553059235
C,1414.293891711612
C,6726.008070342115
C,5708.045031486801
B,5145.967611527273
D,3690.0382335193094
A,9493.120004740864
C,7948.353889863916
D,3135.3790947832235
D,8675.966409229042
D,1822.42406271837
D,358.9342758360881
A,4006.1922541123276
B,7822.792373263681
B,4922.8879494319235
A,738.1790949617492
B,3503.106428098353
C,1846.123931458441
D,6411.221787182048
D,9964.548637977634
B,5213.611908156737
D,144.1981978719277
A,9847.734306468954
C,345.4698952524294
D,425.9726275677314
A,6361.932526402368
C,7604.976653426671
B,7511.12009875308
B,6062.122062271567
A,1161.05928600532
D,3893.5051144481495
B,5902.591197738518
B,520.0624637266963
C,8371.807637129254
B,3164.204550415685
D,4651.388384919769
D,4113.798983737201
B,5325.495820495118
B,2204.5935333933007
D,1138.830970102994
C,3321.654288535223
D,195.42020968084017
B,9206.185386691908
B,7578.148160744198
C,1110.7134889114614
B,4424.929119518743
B,4360.157919673508
B,6251.646288485349
A,8484.00562955424
B,8846.009666817818
D,3610.5991084689963
A,5486.069383156527
A,7016.387900509363
A,7160.0746476983595
D,593.9919009771094
A,2607.9703818899875
D,7961.966616767447
A,851.0914629048171
A,9406.640677454385
C,3712.4689828331952
C,4939.527881868123
A,3623.798133664946
A,2162.1952953996574
D,3439.599386339091
C,4275.6245811780655
B,4592.24079210594
D,7216.556273931739
A,2883.1159930709478
C,9119.214960959429
C,6388.105870479336
A,1482.920158419189
D,8751.137426979725
B,1877.7102491405544
C,1969.9388202687583
D,1180.5693685180397
D,1163.1479506345786
C,2104.076411492859
D,2129.0171570108173
A,7239.880518344736
B,972.969934998627
C,116.96250862574615
D,1934.6859362868904
A,6165.026250092991
B,3519.4080436927247
C,9764.662395062243
D,3603.2335076238705
A,4968.66769880472
D,3185.0572840192017
A,7598.432982869105
D,3452.422454932764
A,7230.413986855838
C,6953.8714694595365
B,9110.979335842201
B,6882.951339648173
D,6100.1834512558025
B,8252.334389892734
A,2865.8025273510157
C,4686.029890648213
C,5886.497776476616
D,6785.180898769002
D,7793.485106665947
C,9417.455038299753
A,1814.6681871331605
C,7233.69954069339
D,7737.987342467935
D,9801.736299317474
D,3366.301464893118
B,4579.291032352441
A,715.3425891962112
D,6756.310520043058
B,3302.5221795026714
D,3247.3126770278927
A,8291.736291479294
B,4145.774685759905
B,4978.360779737471
A,886.9099029105062
B,4638.508441545
B,2121.1449001556534
C,1341.9666377887856
A,8495.116055539756
A,2791.398822670149
C,3046.6068942848706
A,7674.653260179267
B,1984.4326368298725
B,8825.070830594872
B,8754.078963605094
B,3542.0063386943607
C,447.56197009988193
B,3829.1119190158097
D,4956.7546761074245
C,3168.9454713069213
D,7185.7128003585485
B,7935.138640307791
C,1172.4544043793994
B,2506.8972368269106
A,1072.6461692514513
A,5749.175511257118
C,3457.4280173239345
B,9809.287284958877
C,6031.336931555992
C,8424.029901871521
C,6553.856750549519
A,3241.518903189644
D,5813.893967988013
C,8253.080542823876
D,9120.72016789889
